offset,size,data
0x0003E290,0x40,SENIOR BRAND MANAGER
0x0003E2BA,0x18,Lisa Leng
0x0003E2CE,0x10,LEGAL
0x0003E2DA,0x28,Emily C Canedo
0x0003E2F8,0x32,Carmelia Stanton
0x0003E31A,0x38,Technical Direction
0x0003E342,0x34,Ready for Takeoff
0x0003E368,0x14,Credits
0x0003E378,0x48,1st Playable Productions
0x0003E3AA,0x26,Tobi Saulnier
0x0003E3C6,0x20,AUDIO LEAD
0x0003E3DC,0x22,Kevin Riley
0x0003E3F4,0x56,ENGLISH.CREDITS_LEAPFROG_016
0x0003E42E,0x30,LaShonda Hopper
0x0003E44E,0x30,Lead Programmer
0x0003E46E,0x28,Matt Greenholt
0x0003E48C,0x30,"VICE PRESIDENT,"
0x0003E4AC,0x52,GLOBAL CONTENT DEVELOPMENT
0x0003E4E2,0x30,David Perkinson
0x0003E502,0x24,Blair Cooper
0x0003E51E,0x6,AND
0x0003E526,0x50,Everyone at 1st Playable!
0x0003E55A,0x28,Special Thanks
0x0003E578,0x22,Programming
0x0003E590,0x36,EXECUTIVE PRODUCER
0x0003E5B6,0x20,Alex Potts
0x0003E5CC,0x22,Software QA
0x0003E5E4,0x56,ENGLISH.CREDITS_LEAPFROG_017
0x0003E61E,0x20,Production
0x0003E634,0x44,MUSIC AND SFX DESIGNER
0x0003E662,0x22,Chip Harris
0x0003E67A,0x44,Production Coordinator
0x0003E6A8,0x34,and Lead Designer
0x0003E6CC,0x62,"VICE PRESIDENT, MOBILE LEARNING"
0x0003E70C,0x22,Jill Waller
0x0003E724,0x6,CEO
0x0003E72C,0x24,John Barbour
0x0003E746,0x30,Tools & Support
0x0003E766,0x144,And a very special THANK YOU to all the kids that helped test our game!!
0x0003E7F8,0x50,"LeapFrog Enterprises, Inc"
0x0003E82C,0x52,"SENIOR DIRECTOR, MARKETING"
0x0003E862,0x24,Monica Brown
0x0003E87C,0x46,CHIEF MARKETING OFFICER
0x0003E8AC,0x22,Greg Ahearn
0x0003E8C4,0x34,LEARNING DESIGNER
0x0003E8E8,0x24,Clement Chau
0x0003E902,0x30,Production Lead
0x0003E922,0x36,ASSOCIATE PRODUCER
0x0003E948,0x20,Craig Ward
0x0003E95E,0x28,AUDIO DIRECTOR
0x0003E97C,0x24,Brian Walker
0x0003E996,0x34,LEAPFROG SQA LEAD
0x0003E9BA,0x22,Adam Goldey
0x0003E9D2,0x6,Art
0x0003E9DA,0x38,TECHNICAL DIRECTORS
0x0003EA02,0x24,Mario Zapien
0x0003EA1C,0x30,Lovica Callisti
0x0003EA3C,0x20,Matt Nolin
0x0003EA52,0x24,ART DIRECTOR
0x0003EA6C,0x28,Boyd Burggrabe
0x0003EA8A,0x22,Doug Hoover
0x0003EAA2,0x34,TauCeti Deichmann
0x0003EAC6,0x26,GAME DESIGNER
0x0003EAE2,0x24,James Morris
0x0003EAFC,0x26,Leander Hasty
0x0003EB18,0x30,Eun Yeung-Chang
0x0003EB38,0x30,SENIOR PRODUCER
0x0003EB58,0x32,Shivani Seastone
0x0003EB7A,0x26,Chris Sweeney
0x0003EB96,0x52,VOICE OF LEAPFROG NARRATOR
0x0003EBCC,0x28,Andrew Chaikin
0x0003EBEA,0x34,PRESIDENT AND COO
0x0003EC0E,0x24,Michael Dodd
0x0003EC2C,0x70,"SENIOR MANAGER, DEVELOPER RELATIONS"
0x0003EC74,0x22,Roger Noyes
0x0003EC8C,0x22,Lead Artist
